layer_name,M,num_parameters,quantization_error,compression_ratio
conv1,4,144,0.364568,8.0000
layer1.0.conv1,4,2304,1.100481,8.0000
layer1.0.conv2,4,2304,0.995478,8.0000
layer1.1.conv1,4,2304,1.072275,8.0000
layer1.1.conv2,4,2304,1.093956,8.0000
layer1.2.conv1,4,2304,0.979837,8.0000
layer1.2.conv2,4,2304,1.005447,8.0000
layer2.0.conv1,4,4608,1.072188,8.0000
layer2.0.conv2,4,9216,1.460930,8.0000
layer2.1.conv1,4,9216,1.457033,8.0000
layer2.1.conv2,4,9216,1.483192,8.0000
layer2.2.conv1,4,9216,1.509397,8.0000
layer2.2.conv2,4,9216,1.421159,8.0000
layer3.0.conv1,4,18432,1.487879,8.0000
layer3.0.conv2,4,36864,1.916018,8.0000
layer3.1.conv1,4,36864,1.947694,8.0000
layer3.1.conv2,4,36864,1.828102,8.0000
layer3.2.conv1,4,36864,1.725001,8.0000
layer3.2.conv2,4,36864,1.632487,8.0000
fc,4,640,0.293005,8.0000
