epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.780276,0.711938,0.512159,0.811417,0.00100000
2,0.452542,0.832042,0.474254,0.826417,0.00097555
3,0.375672,0.861625,0.332727,0.875500,0.00090460
4,0.333810,0.877167,0.293163,0.893917,0.00079410
5,0.303863,0.888292,0.282875,0.894917,0.00065485
6,0.277089,0.898125,0.288223,0.894333,0.00050050
7,0.258967,0.905042,0.253471,0.908667,0.00034615
8,0.242180,0.912458,0.241113,0.911000,0.00020690
9,0.226319,0.917771,0.222670,0.919250,0.00009640
10,0.217913,0.921896,0.211374,0.923333,0.00002545
