epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.769036,0.713375,0.518513,0.796500,0.00100000
2,0.423657,0.845542,0.488728,0.828250,0.00097555
3,0.359350,0.869167,0.358183,0.870250,0.00090460
4,0.321041,0.880354,0.321623,0.882500,0.00079410
5,0.292696,0.893104,0.290344,0.890833,0.00065485
6,0.271872,0.901604,0.282542,0.892250,0.00050050
7,0.250971,0.909104,0.251683,0.902917,0.00034615
8,0.235292,0.913292,0.237460,0.910667,0.00020690
9,0.219641,0.920667,0.216827,0.919000,0.00009640
10,0.214209,0.923167,0.213294,0.920167,0.00002545
1,0.769036,0.713375,0.518513,0.796500,0.00100000
2,0.423148,0.846021,0.519340,0.818000,0.00099901
3,0.361724,0.867938,0.362337,0.871333,0.00099606
4,0.325189,0.879792,0.320466,0.883667,0.00099115
5,0.304228,0.888958,0.377852,0.862750,0.00098431
6,0.287070,0.895437,0.291561,0.889417,0.00097555
7,0.272857,0.900292,0.338989,0.875750,0.00096492
8,0.263217,0.904042,0.271746,0.899583,0.00095246
9,0.252552,0.908125,0.251168,0.907750,0.00093822
10,0.245652,0.910542,0.240081,0.908000,0.00092224
11,0.239125,0.912625,0.266747,0.900500,0.00090460
12,0.229020,0.916417,0.284352,0.895667,0.00088537
13,0.225775,0.917354,0.250595,0.906417,0.00086462
14,0.221719,0.919417,0.238601,0.914083,0.00084243
15,0.213763,0.921292,0.304421,0.891500,0.00081889
16,0.211329,0.923646,0.216765,0.921833,0.00079410
17,0.204955,0.924875,0.222903,0.919917,0.00076815
18,0.201807,0.925771,0.237849,0.909417,0.00074114
19,0.193305,0.929271,0.259365,0.909167,0.00071318
20,0.194994,0.928958,0.222382,0.919667,0.00068438
21,0.188728,0.930833,0.198455,0.926000,0.00065485
22,0.186648,0.933104,0.202599,0.925333,0.00062472
23,0.182317,0.933021,0.231744,0.918250,0.00059410
24,0.179377,0.934458,0.204395,0.926417,0.00056310
25,0.173393,0.937354,0.204480,0.926667,0.00053186
26,0.170017,0.938604,0.197956,0.928500,0.00050050
27,0.167743,0.939271,0.183619,0.932083,0.00046914
28,0.161527,0.941792,0.192241,0.931000,0.00043790
29,0.158300,0.943896,0.186604,0.934167,0.00040690
30,0.155271,0.943875,0.182901,0.934500,0.00037628
31,0.151299,0.945083,0.183619,0.933000,0.00034615
32,0.147837,0.945875,0.181085,0.936000,0.00031662
33,0.143095,0.947104,0.180660,0.935583,0.00028782
34,0.139171,0.948354,0.183854,0.934750,0.00025986
35,0.135931,0.950354,0.189539,0.934583,0.00023285
36,0.131329,0.953396,0.180371,0.935750,0.00020690
37,0.129302,0.952562,0.179250,0.936667,0.00018211
38,0.125208,0.954708,0.178047,0.939000,0.00015857
39,0.122724,0.955521,0.171928,0.939167,0.00013638
40,0.118898,0.957750,0.174777,0.939833,0.00011563
41,0.118250,0.957271,0.174548,0.939000,0.00009640
42,0.114080,0.958063,0.172922,0.940500,0.00007876
43,0.113133,0.959438,0.172101,0.940500,0.00006278
44,0.111529,0.960438,0.172514,0.941250,0.00004854
45,0.109476,0.960313,0.172442,0.939750,0.00003608
46,0.108102,0.960604,0.173563,0.940167,0.00002545
47,0.108287,0.961417,0.171480,0.941583,0.00001669
48,0.107012,0.961875,0.171355,0.941167,0.00000985
49,0.103104,0.963042,0.172114,0.941333,0.00000494
50,0.105126,0.961812,0.170890,0.940917,0.00000199
