epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.762191,0.715562,0.527888,0.796250,0.00100000
2,0.429947,0.840729,0.426580,0.848333,0.00097555
3,0.359571,0.868667,0.328003,0.878083,0.00090460
4,0.322998,0.882375,0.309807,0.887500,0.00079410
5,0.295182,0.892042,0.283274,0.899583,0.00065485
6,0.271896,0.899896,0.258036,0.905000,0.00050050
7,0.251704,0.908542,0.250787,0.906667,0.00034615
8,0.235047,0.914417,0.234989,0.914083,0.00020690
9,0.221951,0.919438,0.216759,0.920750,0.00009640
10,0.214934,0.922375,0.210603,0.920917,0.00002545
