layer_name,M,num_parameters,quantization_error,compression_ratio
conv1,5,144,0.327551,6.4000
layer1.0.conv1,5,2304,0.921351,6.4000
layer1.0.conv2,5,2304,0.805958,6.4000
layer1.1.conv1,5,2304,0.887818,6.4000
layer1.1.conv2,5,2304,0.935837,6.4000
layer1.2.conv1,5,2304,0.798702,6.4000
layer1.2.conv2,5,2304,0.830097,6.4000
layer2.0.conv1,4,4608,1.072188,8.0000
layer2.0.conv2,4,9216,1.460930,8.0000
layer2.1.conv1,4,9216,1.457033,8.0000
layer2.1.conv2,4,9216,1.483192,8.0000
layer2.2.conv1,4,9216,1.509397,8.0000
layer2.2.conv2,4,9216,1.421159,8.0000
layer3.0.conv1,3,18432,1.990493,10.6667
layer3.0.conv2,3,36864,2.511859,10.6667
layer3.1.conv1,3,36864,2.545522,10.6667
layer3.1.conv2,3,36864,2.350853,10.6667
layer3.2.conv1,3,36864,2.201189,10.6667
layer3.2.conv2,3,36864,2.083493,10.6667
fc,2,640,0.754352,16.0000
