epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.790727,0.702833,0.515988,0.806083,0.00100000
2,0.444427,0.835458,0.495942,0.820333,0.00097555
3,0.370744,0.863750,0.395586,0.852167,0.00090460
4,0.328551,0.878958,0.308576,0.884583,0.00079410
5,0.297635,0.891563,0.296697,0.894000,0.00065485
6,0.273840,0.899833,0.274257,0.900667,0.00050050
7,0.254380,0.907625,0.274848,0.898500,0.00034615
8,0.239749,0.911917,0.250468,0.908167,0.00020690
9,0.224404,0.918083,0.216824,0.920000,0.00009640
10,0.215377,0.922500,0.215561,0.920333,0.00002545
1,0.790727,0.702833,0.515988,0.806083,0.00100000
2,0.446875,0.833854,0.620623,0.795583,0.00099901
3,0.369325,0.865083,0.333160,0.875250,0.00099606
4,0.332576,0.877604,0.320700,0.883833,0.00099115
5,0.307913,0.887479,0.306970,0.888167,0.00098431
6,0.286883,0.894521,0.296960,0.895000,0.00097555
7,0.276881,0.899083,0.292440,0.892500,0.00096492
8,0.265558,0.904021,0.302571,0.890667,0.00095246
9,0.256202,0.906208,0.275679,0.900917,0.00093822
10,0.250305,0.909813,0.330784,0.881833,0.00092224
11,0.242643,0.911000,0.236659,0.915417,0.00090460
12,0.237405,0.914188,0.255736,0.908750,0.00088537
13,0.233330,0.915542,0.253752,0.904333,0.00086462
14,0.228318,0.916583,0.251127,0.907750,0.00084243
15,0.220797,0.920000,0.229807,0.915250,0.00081889
16,0.217291,0.919917,0.203940,0.924583,0.00079410
17,0.209330,0.923312,0.207383,0.925500,0.00076815
18,0.210024,0.924208,0.219303,0.920333,0.00074114
19,0.205585,0.924708,0.226794,0.917333,0.00071318
20,0.199811,0.926312,0.214264,0.922000,0.00068438
21,0.194240,0.930063,0.216242,0.918667,0.00065485
22,0.191461,0.929750,0.232885,0.917750,0.00062472
23,0.189758,0.930375,0.208359,0.924000,0.00059410
24,0.182823,0.933854,0.228214,0.916583,0.00056310
25,0.179664,0.934896,0.241728,0.910833,0.00053186
26,0.174333,0.936813,0.219190,0.920083,0.00050050
27,0.172620,0.935438,0.187685,0.931833,0.00046914
28,0.170816,0.937625,0.184554,0.932750,0.00043790
29,0.164102,0.940500,0.230807,0.916000,0.00040690
30,0.162873,0.941250,0.187093,0.930583,0.00037628
31,0.158481,0.941333,0.205395,0.927500,0.00034615
32,0.153388,0.943583,0.182001,0.932417,0.00031662
33,0.149818,0.945125,0.174986,0.935917,0.00028782
34,0.146767,0.944917,0.171422,0.939333,0.00025986
35,0.141377,0.947688,0.183004,0.935833,0.00023285
36,0.137834,0.949167,0.185116,0.934750,0.00020690
37,0.138185,0.949187,0.170676,0.939250,0.00018211
38,0.132289,0.951854,0.175828,0.937667,0.00015857
39,0.129246,0.952812,0.171841,0.938500,0.00013638
40,0.126303,0.954000,0.170106,0.939500,0.00011563
41,0.125184,0.953917,0.175183,0.939333,0.00009640
42,0.122318,0.955854,0.167609,0.938583,0.00007876
43,0.118855,0.956833,0.171328,0.939333,0.00006278
44,0.117104,0.957646,0.164077,0.940083,0.00004854
45,0.117877,0.958042,0.167242,0.941167,0.00003608
46,0.114398,0.958750,0.163398,0.942667,0.00002545
47,0.113174,0.958604,0.166647,0.940583,0.00001669
48,0.111587,0.959646,0.164391,0.940417,0.00000985
49,0.111212,0.959479,0.166486,0.941167,0.00000494
50,0.110559,0.959521,0.164040,0.942000,0.00000199
