layer_name,M,num_parameters,quantization_error,compression_ratio
conv1,5,144,0.628577,6.4000
layer1.0.conv1,5,2304,1.125140,6.4000
layer1.0.conv2,5,2304,1.144468,6.4000
layer1.1.conv1,5,2304,1.046199,6.4000
layer1.1.conv2,5,2304,1.078320,6.4000
layer1.2.conv1,5,2304,0.870310,6.4000
layer1.2.conv2,5,2304,0.829879,6.4000
layer2.0.conv1,4,4608,1.258906,8.0000
layer2.0.conv2,4,9216,1.729259,8.0000
layer2.1.conv1,4,9216,1.744631,8.0000
layer2.1.conv2,4,9216,1.604701,8.0000
layer2.2.conv1,4,9216,1.745018,8.0000
layer2.2.conv2,4,9216,1.497047,8.0000
layer3.0.conv1,3,18432,2.469060,10.6667
layer3.0.conv2,3,36864,2.770340,10.6667
layer3.1.conv1,3,36864,2.768067,10.6667
layer3.1.conv2,3,36864,2.380792,10.6667
layer3.2.conv1,3,36864,2.263898,10.6667
layer3.2.conv2,3,36864,2.197953,10.6667
fc,2,640,1.725338,16.0000
